,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
1263,2022-05-27 10:02:57+00:00,https://twitter.com/BakoToure2/status/1530127408799666177,BakoToure2,Twitter for Android,,"Bjr! Les GG, respect à vous.

La sortie du gouvernement Béavogui à l'interieur du pays est plus que salutaire.
Cela leurs permettra de mettre à nu,  les défaillances du système.

Pour citer le ministre de l'habitat: ""Le plan d'urbanisation de Lola date de 1962 "" 
 #EspaceGG",2,0,0,0
1264,2022-05-27 10:01:56+00:00,https://twitter.com/fitakotoka/status/1530127152460574722,fitakotoka,Twitter for Android,Guinée,"#EspaceGG 
Bjr les GG.Mad yero
Selon mes informations d'une source bien introduite Mamadou Sylla pourrait recevoir sa lettre de convocation au même titre que CDD ce vendredi. #EspaceGG .",1,0,0,0
1265,2022-05-27 09:59:15+00:00,https://twitter.com/KouroumaBakar14/status/1530126478964310016,KouroumaBakar14,Twitter for Android,Guinée,"bnjr moussa yero, on constate une pénurie de carburant à kindia depuis 24h maintenant une seule station-service en activité avec un monde fou indescriptible; interpeller les responsables du ministère des hydrocarbures pour nous y'a urgence !
😳 #EspaceGG",0,0,0,0
1266,2022-05-27 09:57:34+00:00,https://twitter.com/BarryFodMady1/status/1530126055964647425,BarryFodMady1,Twitter for Android,,#EspaceGG Bonjour  l'affaire de la  crief ne pas clair. Elle doit clarifier sur quel dossier ces hauts cadres sont poursuivis. Si nos il finirons comme de cocaïne au tant du CNDD.Barry FODE de Dinguiraye,0,0,0,0
1267,2022-05-27 09:57:16+00:00,https://twitter.com/SissokoAboudou/status/1530125977602428937,SissokoAboudou,Twitter for Android,,Bonjour djadja et à tout l'ensemble la justice est indépendante ayant confiance à la justice dans cet affaire dossier air Guinée #EspaceGG,0,0,0,0
1268,2022-05-27 09:53:09+00:00,https://twitter.com/KoulibalyLeDmo1/status/1530124943031255042,KoulibalyLeDmo1,Twitter for Android,,"Bjr ls GG
Ayons confiance à l'indépendance de la justice. Encore une fois, lorsque l'on gère la chose publique, c'est normal qu'on soit questionné sur la nature de notre gestion, c'est l'occasion aussi pour les intègres de confirmer leur intégrité à l'opinion nationale #EspaceGG",0,0,0,0
1269,2022-05-27 09:51:10+00:00,https://twitter.com/youssef_kaba/status/1530124444697518080,youssef_kaba,Twitter for Android,,#EspaceGG Une occasion en or s'offre à CDD pour se blanchir. Il gagnerait beaucoup en se présentant  à la justice.Nul n'est au-dessus de la loi. Aucun acharnement. Et aucune victimisation ne plaiderait en sa faveur. Tout cadre convoqué devra accepter de se présenter à la justice.,8,0,0,2
1270,2022-05-27 09:50:21+00:00,https://twitter.com/Cellou_Adams/status/1530124239285657601,Cellou_Adams,Twitter for Android,Guinée,"Bnjr Diadia!
La convocation de CDD devant la CRIEF est une occasion pour lui de laver son honneur, s'il ne se rapproche de rien. Qu'il vienne donner sa version des faits, pour finir avec AIR GUINÉE. S'il sort blanc comme neige, le peuple prendra note. Justice pour tous!
#EspaceGG",0,0,0,1
1271,2022-05-27 09:49:33+00:00,https://twitter.com/BakoToure2/status/1530124036105043968,BakoToure2,Twitter for Android,,"Bjr! Les GG, respect à vous.

La sortie du gouvernement Béavogui à l'interieur du pays est plus que salutaire.
Cela leurs permettra de mettre à nu,   certaines défaillances du système.

Pour cité le ministre de l'habitat: ""Le plan d'urbanisation de Lola date de 1962 ""
#EspaceGG",1,0,0,1
1272,2022-05-27 09:49:20+00:00,https://twitter.com/diallo_herako/status/1530123981977681920,diallo_herako,Twitter for Android,,"Bonjour la DIADIA. 
Cette convocation de CELLOU DALEIN DIALLO est tout sauf surprenante .
Moi je trouve que c'est une bonne chose qu'il soit blanchi pour du bon.
Si c'est le prix à payer, il est bien de prendre le risque.#espaceGG",0,0,0,0
1273,2022-05-27 09:48:58+00:00,https://twitter.com/BarryAb64633255/status/1530123891573661696,BarryAb64633255,Twitter for Android,Libéria,Bonjour #EspaceGG Je Salut le compte rendu  du porte-parole du gouvernement surtout la précision du président colonel doumbouyah qui rappelle qu'aucun ministre n'est ambassadeur d'une région ou représentant et les ministres ne sont pas en campagne. j'ai beaucoup aimé cette partie,1,0,0,0
1274,2022-05-27 09:43:46+00:00,https://twitter.com/souaibou_12/status/1530122581289877508,souaibou_12,Twitter for iPhone,Senegal,"Bonjour Djadja et à toute l’équipe de GG, dites au PM qu’on ne meurt pas pour un homme mais pour une cause, le combat pour la démocratie sera rude et sans arrêt la révolution anti système est impersonnel Monsieur le PM faites ce que vous avez à faire et avançons #EspaceGG",3,0,0,0
1275,2022-05-27 09:38:02+00:00,https://twitter.com/Cellou_Adams/status/1530121137291595776,Cellou_Adams,Twitter for Android,Guinée,"Le problème guinéen est connu de tout le monde. Il faut arrêter de faire semblant, un conseil de ministres délocalisé qu'est ce que cela va changer réellement ? Qui sait combien de milliards vont-ils dépenser ? Il faut sortir du populisme l'urgence est ailleurs.
#EspaceGG",0,0,0,0
1276,2022-05-27 09:35:38+00:00,https://twitter.com/YoussoufMario/status/1530120536042487810,YoussoufMario,Twitter for Android,,"#EspaceGG
Bonjour les GG. Que CDD donne sa version des faits, si aucune charge ne serait retenue contre lui,il serait libre de tout mouvement, histoire de mettre un terme à cette cabale visant à ternir son image. Pour le moment, il bénéficie de la présomption d'innocence.",4,0,0,5
1277,2022-05-27 09:35:28+00:00,https://twitter.com/BakoToure2/status/1530120492664999937,BakoToure2,Twitter for Android,,"Bjr! Les GG, respect à vous.

La sortie du gouvernement Béavogui à l'interieur du pays est plus que salutaire.
Cela leurs permettra de mettre à nu, toutes les défaillances du système.

Pour cité le ministre de l'habitat: ""Le plan d'urbanisation de Lola date de 1962 "" 
 #EspaceGG",1,0,0,1
1278,2022-05-27 09:27:33+00:00,https://twitter.com/IbOuDia62174965/status/1530118502664880130,IbOuDia62174965,Twitter for Android,,"Bonjour #espacegg
Le colonel Président n'était pas aussi imprudent pour effectuer ce déplacement en forêt. Ce manque d'assurance du colonel Doumbouya est aussi sujette d'interprétation de la fragilité de  cette transition.",0,0,0,0
